,Context,Conext_translation
0,Members of the procession walk down the street holding small horn brass instruments.,Los miembros de la procesión caminan por la calle sosteniendo pequeños instrumentos de viento de cuerno.
1,A drum line passes by walking down the street playing their instruments.,Una línea de tambores pasa caminando por la calle tocando sus instrumentos.
2,A group of members in green uniforms walks waving flags.,Un grupo de miembros con uniformes verdes camina ondeando banderas.
3,A drum line passes by walking down the street playing their instruments.,Una línea de tambores pasa caminando por la calle tocando sus instrumentos.
4,The person plays a song on the violin.,La persona toca una canción en el violín.
5,The person holds up the violin to his chin and gets ready.,La persona sostiene el violín hasta la barbilla y se prepara.
6,A person retrieves an instrument from a closet.,Una persona saca un instrumento de un armario.
7,The man examines the instrument in his hand.,El hombre examina el instrumento en su mano.
8,Someone walks over to the radio.,Alguien se acerca a la radio.
9,Someone walks over to the radio.,Alguien se acerca a la radio.
10,Someone stares blearily down at the floor.,Alguien mira al suelo con la mirada llorosa.
11,"A little way beyond is someone's Ford pickup truck smashed into the tree, stretched into any of the front and a couple of paramedics standing by.","Un poco más allá está la camioneta Ford de alguien que se estrelló contra el árbol, se estiró en la parte delantera y hay un par de paramédicos esperando."
12,They run back through the forest towards Hogwarts.,Corren de regreso por el bosque hacia Hogwarts.
13,Someone tries to release it.,Alguien intenta liberarlo.
14,Someone tries to release it.,Alguien intenta liberarlo.
15,Now it's someone's turn to rain blades on his opponent.,Ahora es el turno de alguien de lanzar espadas sobre su oponente.
16,Someone flips up and punches him again.,Alguien se levanta y lo golpea de nuevo.
17,Someone looks up at her hero and sees someone closing in again.,Alguien mira a su héroe y ve a alguien acercándose nuevamente.
18,Someone stopped it in front of his face.,Alguien lo detuvo frente a su cara.
19,He crashes into a brick wall and collapses on the ground.,Se estrella contra una pared de ladrillos y se derrumba en el suelo.
20,Someone falls to the ground.,Alguien cae al suelo.
21,Someone glides in for the kill as someone is lowering the cable car towards the barge.,Alguien se desliza para matar mientras alguien está bajando el teleférico hacia la barcaza.
22,Someone crashes through the wall of an old ruin.,Alguien choca contra la pared de una vieja ruina.
23,"Knocked off balance, someone is kicked away by someone.","Perdido el equilibrio, alguien es pateado por alguien."
24,Someone throws a line around someone's waist and pulls him away behind the glider.,Alguien lanza una línea alrededor de la cintura de alguien y lo arrastra detrás del planeador.
25,Webs wrap around someone's ankles and someone yanks him down.,Las telarañas se envuelven alrededor de los tobillos de alguien y alguien lo tira hacia abajo.
26,Someone slips off it but clasps hold of the rail running around the cable car roof.,Alguien se resbala pero sujeta el riel que rodea el techo del teleférico.
27,"From beneath the pile of rubble, a hand appears.","De debajo del montón de escombros, aparece una mano."
28,Someone drags the villain through a trellis and smashes him against another wall.,Alguien arrastra al villano a través de un enrejado y lo estrella contra otra pared.
29,He shoots out a web to steady himself.,Lanza una telaraña para estabilizarse.
30,A kick to the head and a drop kick to the chest sends someone reeling.,Una patada en la cabeza y una patada en el pecho hace que alguien se tambalee.
31,Someone falls to the ground.,Alguien cae al suelo.
32,"The cable car lands safely on the barge, someone still clinging to it.","El teleférico aterriza a salvo en la barcaza, alguien todavía se aferra a él."
33,A punch sends someone high into the air and he lands heavily.,Un puñetazo envía a alguien alto en el aire y aterriza pesadamente.
34,Someone's eyes flare and he grits his teeth.,Los ojos de alguien brillan y aprieta los dientes.
35,Someone lunges at someone with a multi - bladed spear.,Alguien se lanza contra alguien con una lanza de varias hojas.
36,The fireball throws someone backwards.,La bola de fuego lanza a alguien hacia atrás.
37,"He builds a large web, which slows down the Green someone, but can't hold him.","Él construye una gran red, que ralentiza al Verde, pero no puede retenerlo."
38,The crowd on the bridge continue to throw debris.,La multitud en el puente continúa arrojando escombros.
39,"A blade shoots out, but someone is hit by debris.","Se dispara una cuchilla, pero alguien es golpeado por escombros."
40,"A blade shoots out, but someone is hit by debris.","Se dispara una cuchilla, pero alguien es golpeado por escombros."
41,Someone crashes through the wall of an old ruin.,Alguien choca contra la pared de una vieja ruina.
42,Someone throws a line around someone's waist and pulls him away behind the glider.,Alguien lanza una línea alrededor de la cintura de alguien y lo arrastra detrás del planeador.
43,Someone throws a line around someone's waist and pulls him away behind the glider.,Alguien lanza una línea alrededor de la cintura de alguien y lo arrastra detrás del planeador.
44,"Like a gymnast on rings, someone's arms are stretched wide, one attached to the web supporting them all, the hand of the other still grasping the cable tightly.","Como una gimnasta en anillos, los brazos de alguien se estiran ampliamente, uno sujeto a la red que los sostiene a todos, la mano del otro todavía agarra el cable con fuerza."
45,Someone stopped it in front of his face.,Alguien lo detuvo frente a su cara.
46,Someone flips up and punches him again.,Alguien se levanta y lo golpea de nuevo.
47,Someone stopped it in front of his face.,Alguien lo detuvo frente a su cara.
48,Someone glides in for the kill as someone is lowering the cable car towards the barge.,Alguien se desliza para matar mientras alguien está bajando el teleférico hacia la barcaza.
49,"Knocked off balance, someone is kicked away by someone.","Perdido el equilibrio, alguien es pateado por alguien."
50,Someone glides in for the kill as someone is lowering the cable car towards the barge.,Alguien se desliza para matar mientras alguien está bajando el teleférico hacia la barcaza.
51,A countdown of text is shown that leads into clips of sumo wrestlers performing impressive throws.,Se muestra una cuenta regresiva de texto que conduce a clips de luchadores de sumo realizando lanzamientos impresionantes.
52,Then another woman comes up and she is wearing black shorts and a shirt.,Luego se acerca otra mujer que lleva pantalones cortos negros y una camisa.
53,"Her action is then repeated, but in slow motion once again.","Luego se repite su acción, pero en cámara lenta una vez más."
54,This woman is wearing a purple sports bra and blue panties as she runs and goes flying onto the beam.,Esta mujer lleva un sujetador deportivo morado y bragas azules mientras corre y sale volando hacia la viga.
55,Another young athlete then makes the same jump.,"Luego, otro joven atleta hace el mismo salto."
56,A young woman is standing at the foot of a pole vault track.,Una mujer joven está parada al pie de una pista de salto con pértiga.
57,She takes off and runs very fast towards it and makes it over the beam with relative ease.,Ella despega y corre muy rápido hacia él y pasa por encima de la viga con relativa facilidad.
58,She is then shown doing the same action in slow motion.,Luego se le muestra haciendo la misma acción en cámara lenta.
59,She is then shown doing the same action in slow motion.,Luego se le muestra haciendo la misma acción en cámara lenta.
60,Another young athlete then makes the same jump.,"Luego, otro joven atleta hace el mismo salto."
61,The Mercedes turns onto Robin Hood Trail.,El Mercedes se convierte en Robin Hood Trail.
62,We turn into the Burnham driveway.,Giramos hacia el camino de entrada de Burnham.
63,The Mercedes turns onto Robin Hood Trail.,El Mercedes se convierte en Robin Hood Trail.
64,"Someone is sprawled on the couch in his underwear, drinking a beer and controlling the car.","Alguien está tumbado en el sofá en ropa interior, bebiendo una cerveza y controlando el coche."
65,"The room, too, seems changed: sloppier, more lived in.","La habitación también parece cambiada: más descuidada, más habitada."
66,The woman braids the other's hair all around and pins it up behind her.,La mujer trenza el cabello del otro alrededor y lo sujeta detrás de ella.
67,The woman is seated facing the camera while another woman styles her hair.,La mujer está sentada frente a la cámara mientras otra mujer se peina.
68,A woman's hair is shown from the back.,El cabello de una mujer se muestra desde atrás.
69,The woman is seated facing the camera while another woman styles her hair.,La mujer está sentada frente a la cámara mientras otra mujer se peina.
70,The woman continues to have her hair styled while turned away from the camera.,La mujer continúa peinándose mientras se aleja de la cámara.
71,A woman's hair is seen followed by another woman styling her hair.,El cabello de una mujer es visto seguido por otra mujer peinándose.
72,A woman's hair is seen followed by another woman styling her hair.,El cabello de una mujer es visto seguido por otra mujer peinándose.
73,A woman's hair is shown from the back.,El cabello de una mujer se muestra desde atrás.
74,A woman's hair is shown from the back.,El cabello de una mujer se muestra desde atrás.
75,Someone stands observantly by as the older man rolls on to his stomach.,Alguien se queda observando mientras el anciano rueda sobre su estómago.
76,He pounces on the boy.,Se abalanza sobre el chico.
77,The view swings to someone who dabs his bloody nose.,La vista cambia hacia alguien que se seca la nariz ensangrentada.
78,"He pulls the boy to his feet, but someone forces him up against the wall.","Ayuda al niño a ponerse de pie, pero alguien lo empuja contra la pared."
79,"He pulls the boy to his feet, but someone forces him up against the wall.","Ayuda al niño a ponerse de pie, pero alguien lo empuja contra la pared."
80,His father overturns a table between them and slaps someone down.,Su padre vuelca una mesa entre ellos y golpea a alguien.
81,The view swings to someone who dabs his bloody nose.,La vista cambia hacia alguien que se seca la nariz ensangrentada.
82,"As the retired firefighter catches his breath lying face down, someone remains standing.","Mientras el bombero retirado recupera el aliento acostado boca abajo, alguien permanece de pie."
83,One plays a violin while the others plays the piano.,Uno toca el violín mientras el otro toca el piano.
84,Two women are seen playing different instruments in different frames.,Se ve a dos mujeres tocando diferentes instrumentos en diferentes marcos.
85,One plays a violin while the others plays the piano.,Uno toca el violín mientras el otro toca el piano.
86,One plays a violin while the others plays the piano.,Uno toca el violín mientras el otro toca el piano.
87,"A woman plays a violin while another plays a piano, both wearing overalls.","Una mujer toca un violín mientras otra toca un piano, ambos con un mono."
88,They are all riding bumper cars around a track.,Todos van en autos chocadores alrededor de una pista.
89,A group of kids are inside a building.,Un grupo de niños está dentro de un edificio.
90,They hit a ball against the wall multiple times.,Golpearon una pelota contra la pared varias veces.
91,The man in the front continues bouncing the ball up and down before finally hitting it against the wall.,El hombre en el frente continúa botando la pelota arriba y abajo antes de finalmente golpearla contra la pared.
92,Two men dressed in white shirt and different bottoms are standing in a room with three walls and a hard wood floor.,Dos hombres vestidos con camisa blanca y diferentes pantalones están parados en una habitación con tres paredes y piso de madera dura.
93,A man and woman are standing inside a court.,Un hombre y una mujer están parados dentro de un tribunal.
94,A man and woman are standing inside a court.,Un hombre y una mujer están parados dentro de un tribunal.
95,"Someone looks around, hyperventilating.","Alguien mira a su alrededor, hiperventilando."
96,The ball drops between the two and someone gets flattened.,La pelota cae entre los dos y alguien se aplana.
97,The customer winds up and takes a hard shot.,El cliente termina y toma un tiro duro.
98,"Someone looks around, hyperventilating.","Alguien mira a su alrededor, hiperventilando."
99,Someone calls to the sidelines.,Alguien llama al margen.
100,We see the girl puts gifts into a gift bag with tissue paper.,Vemos que la niña pone los regalos en una bolsa de regalo con papel de seda.
101,We see the girl puts gifts into a gift bag with tissue paper.,Vemos que la niña pone los regalos en una bolsa de regalo con papel de seda.
102,The girl sits at the table and shows a gift bag.,La niña se sienta a la mesa y muestra una bolsa de regalo.
103,The girl moves the cat off the table and onto the floor.,La niña mueve al gato de la mesa y lo coloca en el suelo.
104,We see an intro screen.,Vemos una pantalla de introducción.
105,A girl sits a table talking.,Una niña se sienta a una mesa hablando.
106,We see an intro screen.,Vemos una pantalla de introducción.
107,A cat runs across the table and jumps off.,Un gato corre por la mesa y salta.
108,He watches another train pass and looks down before turning to her again.,Observa pasar otro tren y mira hacia abajo antes de volverse hacia ella.
109,A man is washing his hands in the sink.,Un hombre se lava las manos en el fregadero.
110,A man is washing his hands in the sink.,Un hombre se lava las manos en el fregadero.
111,"Some realization is dawning on someone, it renders her lightheaded.",Alguien se está dando cuenta de que se está mareando.
112,"Some realization is dawning on someone, it renders her lightheaded.",Alguien se está dando cuenta de que se está mareando.
